date,frank green water bottle,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,country_panel,country_panel_rule,query_convention,geo,country
2014-10-01,0,14,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2014-11-01,0,15,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2014-12-01,0,14,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-01-01,0,17,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-02-01,0,15,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-03-01,0,13,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-04-01,0,14,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-05-01,0,16,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-06-01,0,16,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-07-01,0,16,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-08-01,0,16,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-09-01,0,16,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-10-01,0,16,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-11-01,0,17,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2015-12-01,0,19,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-01-01,0,20,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-02-01,0,19,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-03-01,0,17,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-04-01,0,18,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-05-01,0,19,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-06-01,0,18,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-07-01,0,19,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-08-01,0,19,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-09-01,0,20,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-10-01,0,21,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-11-01,0,23,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2016-12-01,0,23,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-01-01,0,26,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-02-01,0,23,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-03-01,0,20,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-04-01,0,20,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-05-01,0,20,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-06-01,0,20,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-07-01,0,22,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-08-01,0,21,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-09-01,0,21,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-10-01,0,21,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-11-01,0,24,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2017-12-01,0,29,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-01-01,0,26,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-02-01,0,24,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-03-01,0,24,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-04-01,0,22,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-05-01,0,24,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-06-01,0,28,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-07-01,0,27,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-08-01,0,25,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-09-01,0,24,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-10-01,0,23,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-11-01,0,28,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2018-12-01,0,30,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-01-01,0,31,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-02-01,0,27,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-03-01,0,26,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-04-01,0,25,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-05-01,0,28,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-06-01,0,27,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-07-01,0,25,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-08-01,0,27,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-09-01,0,28,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-10-01,0,28,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
2019-11-01,1,34,False,frank_green_water_bottle,Frank Green,frank green water bottle,water bottle,oecd38,OECD member countries as of 2026. This gives a pre-defined panel of market economies with broadly comparable consumer markets and usable Google Trends geographies.,{brand} water bottle,AU,Australia
